Season,Location,Item Purchased,sales_count,total_revenue,avg_revenue,rank_in_season_region,sales_share_in_season_region_%
Fall,Colorado,Jacket,1,75,75.0,2.0,8.33
Fall,Colorado,Sandals,1,32,32.0,2.0,8.33
Fall,Colorado,Sunglasses,1,32,32.0,2.0,8.33
Fall,Connecticut,Handbag,2,95,47.5,1.0,10.0
Fall,Connecticut,Jacket,2,50,25.0,1.0,10.0
Fall,Connecticut,Pants,2,135,67.5,1.0,10.0
Fall,Connecticut,Socks,2,122,61.0,1.0,10.0
Fall,Connecticut,T-shirt,2,80,40.0,1.0,10.0
Fall,Connecticut,Backpack,1,25,25.0,2.0,5.0
Fall,Connecticut,Blouse,1,48,48.0,2.0,5.0
Fall,Connecticut,Boots,1,98,98.0,2.0,5.0
Fall,Connecticut,Coat,1,60,60.0,2.0,5.0
Fall,Connecticut,Dress,1,95,95.0,2.0,5.0
Fall,Connecticut,Gloves,1,73,73.0,2.0,5.0
Fall,Connecticut,Jeans,1,67,67.0,2.0,5.0
Fall,Connecticut,Jewelry,1,48,48.0,2.0,5.0
Fall,Connecticut,Sandals,1,47,47.0,2.0,5.0
Fall,Connecticut,Shirt,1,73,73.0,2.0,5.0
Fall,Delaware,Hat,3,201,67.0,1.0,12.5
Fall,Delaware,Backpack,2,50,25.0,2.0,8.33
Fall,Delaware,Dress,2,101,50.5,2.0,8.33
Fall,Delaware,Sandals,2,101,50.5,2.0,8.33
Fall,Delaware,Shoes,2,116,58.0,2.0,8.33
Fall,Delaware,Skirt,2,132,66.0,2.0,8.33
Fall,Delaware,Socks,2,172,86.0,2.0,8.33
Fall,Delaware,Sunglasses,2,91,45.5,2.0,8.33
Fall,Delaware,Coat,1,43,43.0,3.0,4.17
Fall,Delaware,Gloves,1,76,76.0,3.0,4.17
Fall,Delaware,Handbag,1,37,37.0,3.0,4.17
Fall,Delaware,Jewelry,1,79,79.0,3.0,4.17
Fall,Delaware,Scarf,1,95,95.0,3.0,4.17
Fall,Delaware,Sneakers,1,31,31.0,3.0,4.17
Fall,Delaware,Sweater,1,34,34.0,3.0,4.17
Fall,Florida,Coat,3,187,62.333333333333336,1.0,15.0
Fall,Florida,Hat,3,176,58.666666666666664,1.0,15.0
Fall,Florida,Gloves,2,95,47.5,2.0,10.0
Fall,Florida,Jacket,2,64,32.0,2.0,10.0
Fall,Florida,Skirt,2,67,33.5,2.0,10.0
Fall,Florida,Sweater,2,136,68.0,2.0,10.0
Fall,Florida,T-shirt,2,148,74.0,2.0,10.0
Fall,Florida,Handbag,1,43,43.0,3.0,5.0
Fall,Florida,Hoodie,1,50,50.0,3.0,5.0
Fall,Florida,Shirt,1,98,98.0,3.0,5.0
Fall,Florida,Sneakers,1,52,52.0,3.0,5.0
Fall,Georgia,Dress,2,176,88.0,1.0,11.11
Fall,Georgia,Jewelry,2,99,49.5,1.0,11.11
Fall,Georgia,Sneakers,2,128,64.0,1.0,11.11
Fall,Georgia,Socks,2,89,44.5,1.0,11.11
Fall,Georgia,T-shirt,2,100,50.0,1.0,11.11
Fall,Georgia,Backpack,1,38,38.0,2.0,5.56
Fall,Georgia,Blouse,1,89,89.0,2.0,5.56
Fall,Georgia,Boots,1,85,85.0,2.0,5.56
Fall,Georgia,Sandals,1,26,26.0,2.0,5.56
Fall,Georgia,Scarf,1,40,40.0,2.0,5.56
Fall,Georgia,Shoes,1,70,70.0,2.0,5.56
Fall,Georgia,Sunglasses,1,97,97.0,2.0,5.56
Fall,Georgia,Sweater,1,68,68.0,2.0,5.56
Fall,Hawaii,Handbag,4,202,50.5,1.0,20.0
Fall,Hawaii,Hat,3,171,57.0,2.0,15.0
Fall,Hawaii,Coat,2,134,67.0,3.0,10.0
Fall,Hawaii,Sneakers,2,82,41.0,3.0,10.0
Fall,Hawaii,T-shirt,2,163,81.5,3.0,10.0
Fall,Hawaii,Blouse,1,62,62.0,4.0,5.0
Fall,Hawaii,Hoodie,1,95,95.0,4.0,5.0
Fall,Hawaii,Jacket,1,96,96.0,4.0,5.0
Fall,Hawaii,Jeans,1,33,33.0,4.0,5.0
Fall,Hawaii,Shirt,1,46,46.0,4.0,5.0
Fall,Hawaii,Shorts,1,35,35.0,4.0,5.0
Fall,Hawaii,Sweater,1,68,68.0,4.0,5.0
Fall,Idaho,Belt,4,322,80.5,1.0,16.0
Fall,Idaho,Backpack,2,130,65.0,2.0,8.0
Fall,Idaho,Blouse,2,91,45.5,2.0,8.0
Fall,Idaho,Coat,2,148,74.0,2.0,8.0
Fall,Idaho,Pants,2,102,51.0,2.0,8.0
Fall,Idaho,Sneakers,2,122,61.0,2.0,8.0
Fall,Idaho,Sunglasses,2,124,62.0,2.0,8.0
Fall,Idaho,Boots,1,90,90.0,3.0,4.0
Fall,Idaho,Gloves,1,22,22.0,3.0,4.0
Fall,Idaho,Handbag,1,84,84.0,3.0,4.0
Fall,Idaho,Hat,1,71,71.0,3.0,4.0
Fall,Idaho,Sandals,1,47,47.0,3.0,4.0
Fall,Idaho,Scarf,1,35,35.0,3.0,4.0
Fall,Idaho,Shoes,1,99,99.0,3.0,4.0
Fall,Idaho,Shorts,1,92,92.0,3.0,4.0
Fall,Idaho,Skirt,1,43,43.0,3.0,4.0
Fall,Illinois,Gloves,3,252,84.0,1.0,13.64
Fall,Illinois,Jacket,3,242,80.66666666666667,1.0,13.64
Fall,Illinois,Dress,2,140,70.0,2.0,9.09
Fall,Illinois,Jeans,2,118,59.0,2.0,9.09
Fall,Illinois,Belt,1,98,98.0,3.0,4.55
Fall,Illinois,Blouse,1,44,44.0,3.0,4.55
Fall,Illinois,Boots,1,31,31.0,3.0,4.55
Fall,Illinois,Pants,1,36,36.0,3.0,4.55
Fall,Illinois,Sandals,1,77,77.0,3.0,4.55
Fall,Illinois,Scarf,1,72,72.0,3.0,4.55
Fall,Illinois,Shirt,1,91,91.0,3.0,4.55
Fall,Illinois,Skirt,1,36,36.0,3.0,4.55
Fall,Illinois,Sneakers,1,92,92.0,3.0,4.55
Fall,Illinois,Socks,1,58,58.0,3.0,4.55
Fall,Illinois,Sweater,1,43,43.0,3.0,4.55
Fall,Illinois,T-shirt,1,87,87.0,3.0,4.55
Fall,Indiana,Jeans,2,162,81.0,1.0,12.5
Fall,Indiana,Sandals,2,142,71.0,1.0,12.5
Fall,Indiana,Shirt,2,168,84.0,1.0,12.5
Fall,Indiana,Sweater,2,125,62.5,1.0,12.5
Fall,Indiana,Belt,1,74,74.0,2.0,6.25
Fall,Indiana,Coat,1,70,70.0,2.0,6.25
Fall,Indiana,Hat,1,68,68.0,2.0,6.25
Fall,Indiana,Hoodie,1,23,23.0,2.0,6.25
Fall,Indiana,Jewelry,1,27,27.0,2.0,6.25
Fall,Indiana,Pants,1,33,33.0,2.0,6.25
Fall,Indiana,Scarf,1,38,38.0,2.0,6.25
Fall,Indiana,Shorts,1,86,86.0,2.0,6.25
Fall,Iowa,Hat,3,226,75.33333333333333,1.0,17.65
Fall,Iowa,Belt,2,103,51.5,2.0,11.76
Fall,Iowa,Gloves,2,89,44.5,2.0,11.76
Fall,Iowa,Sneakers,2,136,68.0,2.0,11.76
Fall,Iowa,T-shirt,2,132,66.0,2.0,11.76
Fall,Iowa,Blouse,1,63,63.0,3.0,5.88
Fall,Iowa,Boots,1,29,29.0,3.0,5.88
Fall,Iowa,Coat,1,43,43.0,3.0,5.88
Fall,Iowa,Handbag,1,77,77.0,3.0,5.88
Fall,Iowa,Shirt,1,68,68.0,3.0,5.88
Fall,Iowa,Sweater,1,76,76.0,3.0,5.88
Fall,Kansas,Sandals,3,168,56.0,1.0,21.43
Fall,Kansas,Blouse,2,69,34.5,2.0,14.29
Fall,Kansas,Pants,2,120,60.0,2.0,14.29
Fall,Kansas,Dress,1,98,98.0,3.0,7.14
Fall,Kansas,Gloves,1,50,50.0,3.0,7.14
Fall,Kansas,Hat,1,30,30.0,3.0,7.14
Fall,Kansas,Hoodie,1,42,42.0,3.0,7.14
Fall,Kansas,Shorts,1,88,88.0,3.0,7.14
Fall,Kansas,Socks,1,96,96.0,3.0,7.14
Fall,Kansas,Sunglasses,1,27,27.0,3.0,7.14
Fall,Kentucky,Jacket,3,159,53.0,1.0,17.65
Fall,Kentucky,Shirt,3,211,70.33333333333333,1.0,17.65
Fall,Kentucky,Scarf,2,114,57.0,2.0,11.76
Fall,Kentucky,Backpack,1,37,37.0,3.0,5.88
Fall,Kentucky,Belt,1,47,47.0,3.0,5.88
Fall,Kentucky,Blouse,1,95,95.0,3.0,5.88
Fall,Kentucky,Coat,1,95,95.0,3.0,5.88
Fall,Kentucky,Dress,1,21,21.0,3.0,5.88
Fall,Kentucky,Handbag,1,29,29.0,3.0,5.88
Fall,Kentucky,Pants,1,81,81.0,3.0,5.88
Fall,Kentucky,Skirt,1,38,38.0,3.0,5.88
Fall,Kentucky,Sweater,1,45,45.0,3.0,5.88
Fall,Louisiana,Belt,3,108,36.0,1.0,15.79
Fall,Louisiana,Hoodie,3,206,68.66666666666667,1.0,15.79
Fall,Louisiana,Handbag,2,148,74.0,2.0,10.53
Fall,Louisiana,Jeans,2,148,74.0,2.0,10.53
Fall,Louisiana,Jewelry,2,77,38.5,2.0,10.53
Fall,Louisiana,Shirt,2,134,67.0,2.0,10.53
Fall,Louisiana,Backpack,1,37,37.0,3.0,5.26
Fall,Louisiana,Hat,1,74,74.0,3.0,5.26
Fall,Louisiana,Shoes,1,36,36.0,3.0,5.26
Fall,Louisiana,Socks,1,50,50.0,3.0,5.26
Fall,Louisiana,Sweater,1,89,89.0,3.0,5.26
Fall,Maine,Boots,2,87,43.5,1.0,12.5
Fall,Maine,Jacket,2,115,57.5,1.0,12.5
Fall,Maine,Socks,2,100,50.0,1.0,12.5
Fall,Maine,Belt,1,34,34.0,2.0,6.25
Fall,Maine,Blouse,1,74,74.0,2.0,6.25
Fall,Maine,Dress,1,81,81.0,2.0,6.25
Fall,Maine,Gloves,1,57,57.0,2.0,6.25
Fall,Maine,Hat,1,44,44.0,2.0,6.25
Fall,Maine,Jewelry,1,27,27.0,2.0,6.25
Fall,Maine,Sandals,1,90,90.0,2.0,6.25
Fall,Maine,Shirt,1,54,54.0,2.0,6.25
Fall,Maine,Sneakers,1,79,79.0,2.0,6.25
Fall,Maine,Sunglasses,1,53,53.0,2.0,6.25
Fall,Maryland,Skirt,4,184,46.0,1.0,20.0
Fall,Maryland,Sandals,3,210,70.0,2.0,15.0
Fall,Maryland,Coat,2,136,68.0,3.0,10.0
Fall,Maryland,Handbag,2,92,46.0,3.0,10.0
Fall,Maryland,Belt,1,66,66.0,4.0,5.0
Fall,Maryland,Blouse,1,30,30.0,4.0,5.0
Fall,Maryland,Gloves,1,25,25.0,4.0,5.0
Fall,Maryland,Hoodie,1,56,56.0,4.0,5.0
Fall,Maryland,Jeans,1,28,28.0,4.0,5.0
Fall,Maryland,Pants,1,21,21.0,4.0,5.0
Fall,Maryland,Shirt,1,80,80.0,4.0,5.0
Fall,Maryland,Socks,1,29,29.0,4.0,5.0
Fall,Maryland,T-shirt,1,95,95.0,4.0,5.0
Fall,Massachusetts,Dress,2,145,72.5,1.0,16.67
Fall,Massachusetts,Hat,2,131,65.5,1.0,16.67
Fall,Massachusetts,Sandals,2,114,57.0,1.0,16.67
Fall,Massachusetts,Backpack,1,62,62.0,2.0,8.33
Fall,Massachusetts,Boots,1,54,54.0,2.0,8.33
Fall,Massachusetts,Coat,1,39,39.0,2.0,8.33
Fall,Massachusetts,Gloves,1,84,84.0,2.0,8.33
Fall,Massachusetts,Shoes,1,76,76.0,2.0,8.33
Fall,Massachusetts,Sweater,1,85,85.0,2.0,8.33
Fall,Michigan,Shirt,4,263,65.75,1.0,18.18
Fall,Michigan,Jacket,3,192,64.0,2.0,13.64
Fall,Michigan,Sandals,3,238,79.33333333333333,2.0,13.64
Fall,Michigan,Backpack,2,52,26.0,3.0,9.09
Fall,Michigan,T-shirt,2,154,77.0,3.0,9.09
Fall,Michigan,Belt,1,46,46.0,4.0,4.55
Fall,Michigan,Blouse,1,61,61.0,4.0,4.55
Fall,Michigan,Boots,1,96,96.0,4.0,4.55
Fall,Michigan,Dress,1,94,94.0,4.0,4.55
Fall,Michigan,Handbag,1,36,36.0,4.0,4.55
Fall,Michigan,Pants,1,69,69.0,4.0,4.55
Fall,Michigan,Sneakers,1,82,82.0,4.0,4.55
Fall,Michigan,Sunglasses,1,69,69.0,4.0,4.55
Fall,Minnesota,Skirt,4,210,52.5,1.0,16.0
Fall,Minnesota,Gloves,2,71,35.5,2.0,8.0
Fall,Minnesota,Hat,2,80,40.0,2.0,8.0
Fall,Minnesota,Pants,2,156,78.0,2.0,8.0
Fall,Minnesota,Sandals,2,135,67.5,2.0,8.0
Fall,Minnesota,Shirt,2,168,84.0,2.0,8.0
Fall,Minnesota,Shorts,2,171,85.5,2.0,8.0
Fall,Minnesota,T-shirt,2,161,80.5,2.0,8.0
Fall,Minnesota,Blouse,1,91,91.0,3.0,4.0
Fall,Minnesota,Dress,1,52,52.0,3.0,4.0
Fall,Minnesota,Handbag,1,33,33.0,3.0,4.0
Fall,Minnesota,Hoodie,1,32,32.0,3.0,4.0
Fall,Minnesota,Jewelry,1,89,89.0,3.0,4.0
Fall,Minnesota,Socks,1,39,39.0,3.0,4.0
Fall,Minnesota,Sunglasses,1,43,43.0,3.0,4.0
Fall,Mississippi,Handbag,4,207,51.75,1.0,20.0
Fall,Mississippi,Jewelry,3,188,62.666666666666664,2.0,15.0
Fall,Mississippi,Belt,1,46,46.0,3.0,5.0
Fall,Mississippi,Blouse,1,98,98.0,3.0,5.0
Fall,Mississippi,Coat,1,57,57.0,3.0,5.0
Fall,Mississippi,Hat,1,79,79.0,3.0,5.0
Fall,Mississippi,Jacket,1,68,68.0,3.0,5.0
Fall,Mississippi,Jeans,1,57,57.0,3.0,5.0
Fall,Mississippi,Sandals,1,81,81.0,3.0,5.0
Fall,Mississippi,Scarf,1,59,59.0,3.0,5.0
Fall,Mississippi,Shorts,1,88,88.0,3.0,5.0
Fall,Mississippi,Skirt,1,25,25.0,3.0,5.0
Fall,Mississippi,Sneakers,1,57,57.0,3.0,5.0
Fall,Mississippi,Sweater,1,42,42.0,3.0,5.0
Fall,Mississippi,T-shirt,1,72,72.0,3.0,5.0
Fall,Missouri,Scarf,3,271,90.33333333333333,1.0,12.0
Fall,Missouri,Shorts,3,108,36.0,1.0,12.0
Fall,Missouri,Jewelry,2,148,74.0,2.0,8.0
Fall,Missouri,Skirt,2,139,69.5,2.0,8.0
Fall,Missouri,Sneakers,2,164,82.0,2.0,8.0
Fall,Missouri,Socks,2,88,44.0,2.0,8.0
Fall,Missouri,Sunglasses,2,163,81.5,2.0,8.0
Fall,Missouri,T-shirt,2,126,63.0,2.0,8.0
Fall,Missouri,Belt,1,52,52.0,3.0,4.0
Fall,Missouri,Blouse,1,22,22.0,3.0,4.0
Fall,Missouri,Coat,1,48,48.0,3.0,4.0
Fall,Missouri,Dress,1,44,44.0,3.0,4.0
Fall,Missouri,Handbag,1,38,38.0,3.0,4.0
Fall,Missouri,Jacket,1,68,68.0,3.0,4.0
Fall,Missouri,Shirt,1,26,26.0,3.0,4.0
Fall,Montana,Handbag,3,249,83.0,1.0,15.0
Fall,Montana,Coat,2,173,86.5,2.0,10.0
Fall,Montana,Shorts,2,139,69.5,2.0,10.0
Fall,Montana,Sweater,2,68,34.0,2.0,10.0
Fall,Montana,T-shirt,2,117,58.5,2.0,10.0
Fall,Montana,Blouse,1,45,45.0,3.0,5.0
Fall,Montana,Dress,1,88,88.0,3.0,5.0
Fall,Montana,Hoodie,1,57,57.0,3.0,5.0
Fall,Montana,Jacket,1,59,59.0,3.0,5.0
Fall,Montana,Sandals,1,69,69.0,3.0,5.0
Fall,Montana,Shirt,1,85,85.0,3.0,5.0
Fall,Montana,Skirt,1,81,81.0,3.0,5.0
Fall,Montana,Socks,1,25,25.0,3.0,5.0
Fall,Montana,Sunglasses,1,48,48.0,3.0,5.0
Fall,Nebraska,Boots,4,247,61.75,1.0,18.18
Fall,Nebraska,Backpack,3,235,78.33333333333333,2.0,13.64
Fall,Nebraska,Shoes,2,160,80.0,3.0,9.09
Fall,Nebraska,Belt,1,94,94.0,4.0,4.55
Fall,Nebraska,Dress,1,21,21.0,4.0,4.55
Fall,Nebraska,Gloves,1,99,99.0,4.0,4.55
Fall,Nebraska,Handbag,1,32,32.0,4.0,4.55
Fall,Nebraska,Hat,1,95,95.0,4.0,4.55
Fall,Nebraska,Jacket,1,58,58.0,4.0,4.55
Fall,Nebraska,Jeans,1,86,86.0,4.0,4.55
Fall,Nebraska,Pants,1,74,74.0,4.0,4.55
Fall,Nebraska,Sandals,1,58,58.0,4.0,4.55
Fall,Nebraska,Scarf,1,34,34.0,4.0,4.55
Fall,Nebraska,Shorts,1,25,25.0,4.0,4.55
Fall,Nebraska,Socks,1,37,37.0,4.0,4.55
Fall,Nebraska,Sunglasses,1,34,34.0,4.0,4.55
Fall,Nevada,Sunglasses,3,214,71.33333333333333,1.0,17.65
Fall,Nevada,Backpack,2,109,54.5,2.0,11.76
Fall,Nevada,Shorts,2,163,81.5,2.0,11.76
Fall,Nevada,Blouse,1,73,73.0,3.0,5.88
Fall,Nevada,Boots,1,49,49.0,3.0,5.88
Fall,Nevada,Gloves,1,67,67.0,3.0,5.88
Fall,Nevada,Handbag,1,93,93.0,3.0,5.88
Fall,Nevada,Jeans,1,53,53.0,3.0,5.88
Fall,Nevada,Jewelry,1,91,91.0,3.0,5.88
Fall,Nevada,Sandals,1,51,51.0,3.0,5.88
Fall,Nevada,Shirt,1,93,93.0,3.0,5.88
Fall,Nevada,Shoes,1,70,70.0,3.0,5.88
Fall,Nevada,Socks,1,62,62.0,3.0,5.88
Fall,New Hampshire,Blouse,2,177,88.5,1.0,10.53
Fall,New Hampshire,Coat,2,133,66.5,1.0,10.53
Fall,New Hampshire,Hat,2,76,38.0,1.0,10.53
Fall,New Hampshire,Jewelry,2,129,64.5,1.0,10.53
Fall,New Hampshire,Backpack,1,69,69.0,2.0,5.26
Fall,New Hampshire,Boots,1,52,52.0,2.0,5.26
Fall,New Hampshire,Gloves,1,27,27.0,2.0,5.26
Fall,New Hampshire,Handbag,1,55,55.0,2.0,5.26
Fall,New Hampshire,Hoodie,1,43,43.0,2.0,5.26
Fall,New Hampshire,Jacket,1,24,24.0,2.0,5.26
Fall,New Hampshire,Pants,1,26,26.0,2.0,5.26
Fall,New Hampshire,Skirt,1,25,25.0,2.0,5.26
Fall,New Hampshire,Sunglasses,1,74,74.0,2.0,5.26
Fall,New Hampshire,Sweater,1,50,50.0,2.0,5.26
Fall,New Hampshire,T-shirt,1,79,79.0,2.0,5.26
Fall,New Jersey,Belt,2,186,93.0,1.0,14.29
Fall,New Jersey,Gloves,2,192,96.0,1.0,14.29
Fall,New Jersey,Scarf,2,98,49.0,1.0,14.29
Fall,New Jersey,Blouse,1,33,33.0,2.0,7.14
Fall,New Jersey,Hat,1,50,50.0,2.0,7.14
Fall,New Jersey,Hoodie,1,44,44.0,2.0,7.14
Fall,New Jersey,Shoes,1,43,43.0,2.0,7.14
Fall,New Jersey,Shorts,1,40,40.0,2.0,7.14
Fall,New Jersey,Skirt,1,37,37.0,2.0,7.14
Fall,New Jersey,Socks,1,29,29.0,2.0,7.14
Fall,New Jersey,Sweater,1,72,72.0,2.0,7.14
Fall,New Mexico,Belt,3,126,42.0,1.0,14.29
Fall,New Mexico,Jacket,3,206,68.66666666666667,1.0,14.29
Fall,New Mexico,Handbag,2,128,64.0,2.0,9.52
Fall,New Mexico,Scarf,2,162,81.0,2.0,9.52
Fall,New Mexico,Backpack,1,58,58.0,3.0,4.76
Fall,New Mexico,Coat,1,47,47.0,3.0,4.76
Fall,New Mexico,Hat,1,93,93.0,3.0,4.76
Fall,New Mexico,Hoodie,1,63,63.0,3.0,4.76
Fall,New Mexico,Jewelry,1,62,62.0,3.0,4.76
Fall,New Mexico,Sandals,1,63,63.0,3.0,4.76
Fall,New Mexico,Skirt,1,74,74.0,3.0,4.76
Fall,New Mexico,Sneakers,1,60,60.0,3.0,4.76
Fall,New Mexico,Sunglasses,1,75,75.0,3.0,4.76
Fall,New Mexico,Sweater,1,79,79.0,3.0,4.76
Fall,New Mexico,T-shirt,1,64,64.0,3.0,4.76
Fall,New York,Jacket,4,133,33.25,1.0,16.0
Fall,New York,Blouse,3,182,60.666666666666664,2.0,12.0
Fall,New York,Handbag,2,177,88.5,3.0,8.0
Fall,New York,Jeans,2,111,55.5,3.0,8.0
Fall,New York,Sandals,2,119,59.5,3.0,8.0
Fall,New York,Socks,2,167,83.5,3.0,8.0
Fall,New York,Backpack,1,96,96.0,4.0,4.0
Fall,New York,Belt,1,83,83.0,4.0,4.0
Fall,New York,Coat,1,85,85.0,4.0,4.0
Fall,New York,Dress,1,31,31.0,4.0,4.0
Fall,New York,Hat,1,58,58.0,4.0,4.0
Fall,New York,Jewelry,1,62,62.0,4.0,4.0
Fall,New York,Shoes,1,68,68.0,4.0,4.0
Fall,New York,Shorts,1,94,94.0,4.0,4.0
Fall,New York,Sunglasses,1,73,73.0,4.0,4.0
Fall,New York,T-shirt,1,37,37.0,4.0,4.0
Fall,North Carolina,Sweater,3,198,66.0,1.0,17.65
Fall,North Carolina,Gloves,2,196,98.0,2.0,11.76
Fall,North Carolina,Sunglasses,2,123,61.5,2.0,11.76
Fall,North Carolina,T-shirt,2,152,76.0,2.0,11.76
Fall,North Carolina,Belt,1,90,90.0,3.0,5.88
Fall,North Carolina,Blouse,1,96,96.0,3.0,5.88
Fall,North Carolina,Handbag,1,94,94.0,3.0,5.88
Fall,North Carolina,Jeans,1,22,22.0,3.0,5.88
Fall,North Carolina,Pants,1,57,57.0,3.0,5.88
Fall,North Carolina,Sandals,1,21,21.0,3.0,5.88
Fall,North Carolina,Shirt,1,28,28.0,3.0,5.88
Fall,North Carolina,Socks,1,77,77.0,3.0,5.88
Fall,North Dakota,Boots,4,176,44.0,1.0,19.05
Fall,North Dakota,Jacket,3,213,71.0,2.0,14.29
Fall,North Dakota,Belt,2,144,72.0,3.0,9.52
Fall,North Dakota,Hoodie,2,135,67.5,3.0,9.52
Fall,North Dakota,Pants,2,131,65.5,3.0,9.52
Fall,North Dakota,Backpack,1,49,49.0,4.0,4.76
Fall,North Dakota,Blouse,1,31,31.0,4.0,4.76
Fall,North Dakota,Handbag,1,29,29.0,4.0,4.76
Fall,North Dakota,Hat,1,38,38.0,4.0,4.76
Fall,North Dakota,Jeans,1,52,52.0,4.0,4.76
Fall,North Dakota,Socks,1,85,85.0,4.0,4.76
Fall,North Dakota,Sunglasses,1,47,47.0,4.0,4.76
Fall,North Dakota,Sweater,1,68,68.0,4.0,4.76
Fall,Ohio,Hoodie,3,113,37.666666666666664,1.0,13.04
Fall,Ohio,Dress,2,165,82.5,2.0,8.7
Fall,Ohio,Sandals,2,137,68.5,2.0,8.7
Fall,Ohio,Scarf,2,154,77.0,2.0,8.7
