Age,Purchase Amount (USD),Previous Purchases,Category,Location,Season,Subscription Status,Shipping Type,Payment Method,Frequency of Purchases,coupon_prob,recommend_send_coupon,true_coupon_user
23,76,19,Clothing,North Carolina,Fall,No,Store Pickup,Bank Transfer,Quarterly,19.65,0,0
21,81,25,Accessories,Kansas,Spring,No,Free Shipping,Debit Card,Quarterly,17.64,0,0
60,68,34,Accessories,Missouri,Summer,Yes,2-Day Shipping,Cash,Monthly,99.72,1,1
24,100,16,Clothing,Oregon,Fall,Yes,Next Day Air,Venmo,Every 3 Months,99.87,1,1
66,78,44,Clothing,Connecticut,Spring,No,2-Day Shipping,Credit Card,Every 3 Months,17.87,0,0
26,20,20,Accessories,Georgia,Spring,No,Store Pickup,Credit Card,Bi-Weekly,15.99,0,1
40,74,42,Accessories,Washington,Summer,No,Next Day Air,Credit Card,Fortnightly,31.94,0,0
63,30,27,Accessories,Maryland,Winter,Yes,Standard,PayPal,Fortnightly,99.82,1,1
63,65,38,Clothing,Louisiana,Winter,Yes,Next Day Air,PayPal,Fortnightly,99.63,1,1
52,26,24,Clothing,New Hampshire,Winter,No,Free Shipping,Cash,Monthly,21.62,0,1
47,25,24,Clothing,Rhode Island,Summer,No,Express,Venmo,Every 3 Months,18.18,0,0
58,99,34,Footwear,Texas,Winter,No,Next Day Air,PayPal,Quarterly,20.08,0,0
64,22,40,Clothing,Missouri,Fall,No,Standard,Debit Card,Weekly,24.8,0,0
59,38,16,Accessories,Alabama,Winter,No,Store Pickup,Cash,Bi-Weekly,13.36,0,0
58,51,34,Clothing,Hawaii,Winter,No,Express,Credit Card,Weekly,17.57,0,1
47,93,25,Accessories,New York,Summer,No,Standard,Bank Transfer,Fortnightly,30.47,0,0
42,35,21,Clothing,Indiana,Spring,No,Standard,Cash,Every 3 Months,51.08,0,0
45,60,44,Clothing,Indiana,Winter,No,Express,Debit Card,Annually,29.03,0,0
66,77,43,Clothing,Massachusetts,Winter,No,2-Day Shipping,Cash,Monthly,19.0,0,0
27,42,28,Footwear,Virginia,Spring,Yes,Standard,Bank Transfer,Monthly,99.2,1,1
19,74,15,Clothing,West Virginia,Summer,Yes,Store Pickup,Venmo,Monthly,99.68,1,1
27,73,3,Footwear,Utah,Spring,No,Express,Debit Card,Quarterly,22.35,0,0
37,51,12,Clothing,Vermont,Winter,No,Standard,Debit Card,Annually,17.72,0,0
45,57,5,Accessories,New York,Winter,No,Next Day Air,PayPal,Monthly,25.19,0,0
65,76,48,Clothing,South Carolina,Spring,No,Standard,Bank Transfer,Every 3 Months,29.32,0,0
60,26,13,Outerwear,Oklahoma,Winter,No,Store Pickup,Credit Card,Monthly,22.32,0,0
46,88,10,Accessories,Wisconsin,Fall,Yes,2-Day Shipping,PayPal,Fortnightly,99.83,1,1
62,71,5,Clothing,Maine,Summer,No,Free Shipping,Bank Transfer,Every 3 Months,14.49,0,0
57,66,27,Accessories,Minnesota,Winter,No,Standard,Credit Card,Quarterly,26.16,0,0
25,98,28,Clothing,Massachusetts,Spring,No,Free Shipping,Debit Card,Weekly,21.55,0,0
27,90,10,Footwear,North Dakota,Summer,No,2-Day Shipping,Bank Transfer,Weekly,16.99,0,1
51,60,12,Footwear,Michigan,Fall,No,Free Shipping,Venmo,Every 3 Months,15.75,0,1
63,48,29,Footwear,New Jersey,Summer,No,Store Pickup,Venmo,Every 3 Months,19.27,0,1
66,23,42,Clothing,Illinois,Winter,Yes,Standard,PayPal,Fortnightly,99.66,1,1
49,32,39,Clothing,Alabama,Fall,No,Next Day Air,Debit Card,Monthly,15.74,0,1
60,49,25,Footwear,Pennsylvania,Spring,No,Store Pickup,Cash,Every 3 Months,23.69,0,0
21,94,5,Accessories,Tennessee,Spring,No,Express,Cash,Weekly,21.33,0,0
28,41,39,Accessories,Hawaii,Spring,No,Next Day Air,Cash,Monthly,31.6,0,1
42,70,34,Footwear,New Hampshire,Summer,No,2-Day Shipping,Venmo,Monthly,22.71,0,0
31,72,41,Clothing,Alabama,Winter,Yes,Store Pickup,Bank Transfer,Every 3 Months,99.46,1,1
53,44,3,Clothing,Connecticut,Summer,No,Express,Cash,Weekly,12.92,0,0
39,24,9,Clothing,Minnesota,Summer,No,Free Shipping,Venmo,Quarterly,24.53,0,0
62,98,31,Accessories,South Dakota,Fall,Yes,Express,Cash,Fortnightly,99.56,1,1
50,66,1,Outerwear,Montana,Spring,No,Store Pickup,Venmo,Weekly,20.59,0,0
70,62,12,Accessories,North Carolina,Spring,No,2-Day Shipping,Credit Card,Annually,19.34,0,1
60,35,10,Accessories,Idaho,Fall,Yes,2-Day Shipping,Debit Card,Monthly,99.61,1,1
46,44,31,Clothing,Idaho,Winter,No,Free Shipping,Bank Transfer,Monthly,19.38,0,0
29,24,12,Footwear,Maine,Spring,No,Express,Venmo,Bi-Weekly,11.75,0,0
33,32,48,Outerwear,Alabama,Summer,Yes,2-Day Shipping,Debit Card,Annually,99.45,1,1
42,58,3,Accessories,Florida,Fall,No,Standard,Debit Card,Annually,21.41,0,0
41,93,32,Clothing,Nevada,Spring,No,2-Day Shipping,Venmo,Fortnightly,25.53,0,0
30,42,39,Clothing,Louisiana,Winter,No,Next Day Air,Credit Card,Weekly,19.5,0,0
60,75,45,Clothing,California,Spring,No,Express,PayPal,Annually,10.36,0,0
33,80,39,Clothing,Alaska,Winter,No,Store Pickup,Credit Card,Every 3 Months,24.05,0,0
53,68,20,Footwear,New York,Fall,Yes,Express,Debit Card,Monthly,99.37,1,1
70,37,20,Clothing,Oklahoma,Winter,No,Express,Credit Card,Fortnightly,21.51,0,0
66,29,14,Footwear,Connecticut,Spring,No,Free Shipping,Venmo,Quarterly,14.8,0,0
18,63,9,Accessories,Kentucky,Summer,No,Standard,PayPal,Monthly,20.68,0,0
32,59,17,Accessories,Michigan,Spring,Yes,2-Day Shipping,Bank Transfer,Bi-Weekly,99.59,1,1
44,45,34,Accessories,Ohio,Winter,No,Free Shipping,Credit Card,Fortnightly,25.04,0,0
38,65,7,Clothing,Alaska,Spring,No,2-Day Shipping,Credit Card,Monthly,22.83,0,0
58,91,6,Accessories,Illinois,Winter,Yes,Store Pickup,Credit Card,Quarterly,99.56,1,1
19,94,11,Accessories,California,Winter,No,Free Shipping,Credit Card,Weekly,13.34,0,0
54,57,41,Footwear,Mississippi,Fall,No,Free Shipping,Venmo,Quarterly,26.49,0,0
68,51,18,Outerwear,Tennessee,Spring,No,Free Shipping,Venmo,Weekly,24.86,0,1
36,58,4,Accessories,Wisconsin,Spring,No,Express,Venmo,Monthly,39.66,0,1
36,50,44,Clothing,Tennessee,Fall,No,Standard,Bank Transfer,Bi-Weekly,20.41,0,0
55,33,47,Clothing,Alaska,Summer,Yes,Express,Debit Card,Fortnightly,99.69,1,1
39,22,12,Accessories,California,Spring,No,Next Day Air,Bank Transfer,Annually,16.36,0,0
63,72,23,Accessories,Rhode Island,Winter,No,Next Day Air,Credit Card,Annually,15.06,0,0
28,70,40,Clothing,Minnesota,Fall,Yes,2-Day Shipping,PayPal,Annually,99.44,1,1
36,59,12,Outerwear,Utah,Winter,No,Next Day Air,PayPal,Annually,26.79,0,0
56,25,17,Accessories,Georgia,Spring,No,2-Day Shipping,Debit Card,Weekly,17.3,0,0
24,26,42,Accessories,Missouri,Summer,No,Next Day Air,Venmo,Quarterly,39.92,0,1
68,76,7,Clothing,North Carolina,Fall,No,Standard,Venmo,Quarterly,26.08,0,0
25,58,39,Accessories,Georgia,Spring,No,Store Pickup,Debit Card,Fortnightly,19.88,0,0
57,58,40,Clothing,Pennsylvania,Summer,No,Express,PayPal,Every 3 Months,24.59,0,0
35,95,24,Clothing,North Dakota,Fall,No,Free Shipping,Cash,Fortnightly,20.2,0,0
41,95,46,Clothing,Hawaii,Spring,No,Store Pickup,Credit Card,Quarterly,24.08,0,1
55,46,29,Accessories,Minnesota,Spring,No,2-Day Shipping,PayPal,Monthly,21.8,0,0
37,97,14,Outerwear,New Jersey,Summer,Yes,Next Day Air,Cash,Bi-Weekly,99.73,1,1
53,66,48,Footwear,Arkansas,Fall,No,Next Day Air,Venmo,Bi-Weekly,28.31,0,0
51,85,33,Clothing,Colorado,Summer,No,Next Day Air,Cash,Monthly,18.44,0,0
28,37,27,Footwear,New Mexico,Summer,Yes,Express,Credit Card,Annually,99.41,1,1
25,41,46,Accessories,Iowa,Winter,No,Standard,Bank Transfer,Quarterly,37.09,0,0
33,50,6,Accessories,Minnesota,Fall,Yes,Free Shipping,Cash,Annually,99.48,1,1
29,86,45,Outerwear,Maryland,Summer,No,Store Pickup,Credit Card,Fortnightly,34.85,0,0
47,34,28,Outerwear,New Jersey,Summer,No,Next Day Air,Bank Transfer,Monthly,25.59,0,0
52,77,44,Clothing,Arizona,Summer,No,Store Pickup,Credit Card,Every 3 Months,16.06,0,0
49,85,40,Clothing,South Dakota,Summer,Yes,Standard,PayPal,Annually,99.57,1,1
27,71,12,Clothing,Texas,Fall,Yes,Next Day Air,Cash,Every 3 Months,99.72,1,1
57,68,39,Clothing,Iowa,Fall,Yes,Store Pickup,Credit Card,Quarterly,99.71,1,1
63,73,19,Accessories,South Carolina,Fall,No,Express,Credit Card,Annually,13.49,0,1
41,74,15,Clothing,South Carolina,Summer,Yes,Standard,Cash,Annually,99.64,1,1
19,91,35,Clothing,Pennsylvania,Summer,Yes,Express,Credit Card,Every 3 Months,99.72,1,1
54,70,19,Accessories,Nevada,Spring,Yes,2-Day Shipping,Bank Transfer,Every 3 Months,99.69,1,1
37,56,18,Clothing,Connecticut,Fall,No,2-Day Shipping,Venmo,Monthly,13.76,0,0
30,79,36,Accessories,Mississippi,Fall,No,Next Day Air,Bank Transfer,Every 3 Months,39.45,0,0
62,37,32,Outerwear,New Jersey,Spring,No,Standard,Debit Card,Every 3 Months,31.12,0,1
50,32,1,Clothing,Colorado,Summer,No,Free Shipping,Bank Transfer,Every 3 Months,15.72,0,1
70,82,47,Clothing,Nevada,Fall,No,Free Shipping,Venmo,Weekly,17.06,0,0
58,77,20,Accessories,Nebraska,Summer,No,Standard,Bank Transfer,Every 3 Months,25.62,0,1
70,81,44,Accessories,Vermont,Summer,No,Store Pickup,Venmo,Monthly,20.47,0,0
43,89,45,Outerwear,Illinois,Spring,Yes,Free Shipping,Venmo,Bi-Weekly,99.69,1,1
37,58,33,Outerwear,Nebraska,Fall,Yes,Free Shipping,Credit Card,Fortnightly,99.59,1,1
19,76,20,Clothing,Iowa,Fall,No,Free Shipping,Cash,Fortnightly,28.35,0,0
63,59,15,Accessories,Florida,Winter,Yes,Express,Credit Card,Quarterly,99.65,1,1
58,27,39,Accessories,New Hampshire,Fall,Yes,Store Pickup,Bank Transfer,Every 3 Months,99.7,1,1
46,72,42,Accessories,Nebraska,Winter,No,Store Pickup,Cash,Bi-Weekly,17.13,0,1
29,55,42,Clothing,Idaho,Summer,No,Express,Credit Card,Every 3 Months,24.74,0,0
21,98,10,Accessories,Arkansas,Winter,No,Next Day Air,Credit Card,Annually,29.55,0,0
29,71,14,Footwear,Arkansas,Spring,No,Next Day Air,PayPal,Quarterly,33.14,0,0
48,82,35,Clothing,New Mexico,Winter,No,Store Pickup,Credit Card,Weekly,19.33,0,0
36,53,10,Accessories,South Carolina,Fall,No,Store Pickup,Venmo,Monthly,19.68,0,0
26,90,11,Footwear,Vermont,Spring,Yes,Standard,Debit Card,Annually,99.52,1,1
55,75,4,Clothing,Mississippi,Summer,Yes,Free Shipping,PayPal,Monthly,99.73,1,1
19,33,14,Clothing,Illinois,Summer,No,Standard,Venmo,Monthly,24.95,0,0
51,26,41,Clothing,Ohio,Summer,No,Store Pickup,Venmo,Weekly,24.51,0,0
34,32,10,Clothing,New York,Summer,No,Next Day Air,Credit Card,Annually,22.7,0,1
45,38,47,Accessories,Wyoming,Winter,No,Standard,Bank Transfer,Annually,16.44,0,0
55,50,35,Outerwear,Connecticut,Summer,No,Standard,Credit Card,Monthly,19.28,0,0
45,39,50,Clothing,South Carolina,Spring,No,Standard,Credit Card,Annually,22.0,0,0
25,92,29,Footwear,Mississippi,Winter,No,Express,PayPal,Fortnightly,24.36,0,0
49,53,8,Accessories,Kentucky,Winter,Yes,Store Pickup,PayPal,Monthly,99.41,1,1
65,89,37,Accessories,Indiana,Spring,No,Next Day Air,Credit Card,Bi-Weekly,46.51,0,1
27,72,28,Clothing,New Jersey,Spring,No,Express,Credit Card,Annually,14.78,0,0
57,72,40,Clothing,Massachusetts,Summer,No,2-Day Shipping,Credit Card,Annually,16.89,0,0
20,32,21,Accessories,California,Spring,Yes,Standard,Credit Card,Fortnightly,99.65,1,1
53,65,12,Clothing,Rhode Island,Winter,No,Standard,Cash,Monthly,16.36,0,0
42,37,45,Accessories,Alaska,Spring,No,Free Shipping,PayPal,Bi-Weekly,24.24,0,0
68,24,40,Accessories,North Carolina,Summer,No,Standard,Cash,Annually,23.98,0,1
68,61,36,Accessories,Missouri,Winter,No,Store Pickup,Credit Card,Quarterly,24.33,0,0
43,76,23,Clothing,Montana,Spring,No,Next Day Air,Bank Transfer,Fortnightly,24.46,0,1
29,94,46,Clothing,Minnesota,Winter,No,2-Day Shipping,Credit Card,Monthly,19.17,0,0
48,37,25,Outerwear,Montana,Winter,Yes,Store Pickup,Credit Card,Bi-Weekly,99.49,1,1
26,94,22,Footwear,Virginia,Fall,No,Free Shipping,Debit Card,Monthly,7.03,0,0
34,53,4,Clothing,Virginia,Winter,No,Express,Credit Card,Weekly,8.28,0,0
42,59,22,Clothing,Wisconsin,Winter,No,Store Pickup,Bank Transfer,Quarterly,35.47,0,1
69,62,28,Accessories,North Carolina,Winter,No,2-Day Shipping,Bank Transfer,Annually,17.4,0,0
18,94,10,Accessories,Pennsylvania,Spring,No,Store Pickup,Bank Transfer,Every 3 Months,29.54,0,0
36,41,43,Footwear,Oregon,Fall,Yes,Store Pickup,PayPal,Fortnightly,99.72,1,1
58,76,28,Clothing,Nevada,Spring,Yes,Free Shipping,Credit Card,Weekly,99.56,1,1
43,28,7,Footwear,Texas,Summer,No,Free Shipping,Cash,Every 3 Months,18.91,0,0
70,76,2,Clothing,Indiana,Summer,No,2-Day Shipping,Cash,Monthly,36.28,0,1
57,99,34,Footwear,Tennessee,Summer,No,Store Pickup,Credit Card,Weekly,15.18,0,0
38,47,20,Clothing,Washington,Winter,No,Standard,Venmo,Annually,22.33,0,0
32,69,20,Accessories,Washington,Fall,No,Next Day Air,Venmo,Monthly,27.02,0,0
45,45,39,Clothing,Missouri,Summer,Yes,Express,PayPal,Fortnightly,99.69,1,1
43,25,48,Clothing,Nebraska,Winter,No,2-Day Shipping,Cash,Monthly,17.19,0,0
52,73,2,Clothing,Louisiana,Summer,No,Next Day Air,Cash,Quarterly,22.98,0,0
26,25,8,Clothing,Virginia,Summer,No,2-Day Shipping,PayPal,Quarterly,11.77,0,0
34,100,38,Accessories,Michigan,Summer,No,2-Day Shipping,PayPal,Every 3 Months,22.67,0,0
43,65,9,Clothing,Utah,Fall,No,Express,Cash,Weekly,19.46,0,0
68,30,34,Clothing,New Jersey,Spring,Yes,Next Day Air,Debit Card,Bi-Weekly,99.69,1,1
35,94,31,Clothing,Kentucky,Fall,No,Free Shipping,PayPal,Annually,10.97,0,0
63,29,39,Footwear,North Carolina,Spring,No,Standard,Credit Card,Fortnightly,25.05,0,0
27,30,15,Clothing,Arizona,Summer,No,Next Day Air,Bank Transfer,Bi-Weekly,17.81,0,0
49,72,43,Clothing,Vermont,Fall,No,Free Shipping,Debit Card,Quarterly,17.81,0,1
54,90,12,Accessories,Illinois,Winter,No,Free Shipping,Credit Card,Every 3 Months,20.32,0,1
61,29,48,Clothing,Kentucky,Summer,No,Standard,Bank Transfer,Quarterly,21.78,0,0
32,95,15,Accessories,Connecticut,Spring,No,2-Day Shipping,PayPal,Annually,13.5,0,0
67,33,14,Clothing,Indiana,Fall,No,Free Shipping,Cash,Weekly,31.88,0,0
59,83,23,Clothing,Alaska,Fall,Yes,Express,Credit Card,Monthly,99.5,1,1
32,59,16,Clothing,New Mexico,Winter,Yes,2-Day Shipping,Bank Transfer,Annually,99.54,1,1
49,35,39,Clothing,Indiana,Summer,No,2-Day Shipping,Venmo,Fortnightly,45.88,0,0
45,50,39,Clothing,Vermont,Summer,No,2-Day Shipping,Debit Card,Quarterly,21.9,0,0
41,98,21,Clothing,Oklahoma,Fall,Yes,Next Day Air,Venmo,Quarterly,99.79,1,1
54,56,2,Footwear,California,Spring,No,2-Day Shipping,Credit Card,Bi-Weekly,11.12,0,1
62,60,4,Accessories,Mississippi,Winter,No,Free Shipping,PayPal,Quarterly,29.72,0,0
57,89,46,Clothing,Louisiana,Fall,Yes,Free Shipping,Cash,Weekly,99.39,1,1
47,43,4,Clothing,Missouri,Fall,No,Standard,Cash,Fortnightly,28.05,0,0
30,33,9,Accessories,Minnesota,Spring,No,Standard,Cash,Monthly,27.71,0,1
51,30,18,Clothing,Rhode Island,Summer,Yes,Standard,Debit Card,Fortnightly,99.62,1,1
35,27,42,Accessories,Indiana,Fall,No,Store Pickup,Bank Transfer,Fortnightly,37.96,0,0
29,35,47,Clothing,Wyoming,Fall,No,Standard,PayPal,Quarterly,19.04,0,0
24,95,5,Clothing,Nevada,Spring,No,Free Shipping,Bank Transfer,Weekly,18.59,0,0
55,32,37,Clothing,Wyoming,Spring,Yes,Express,Venmo,Weekly,99.53,1,1
31,72,6,Clothing,Ohio,Summer,No,2-Day Shipping,Venmo,Fortnightly,29.17,0,0
36,82,4,Clothing,West Virginia,Fall,Yes,Next Day Air,Credit Card,Weekly,99.67,1,1
38,28,9,Accessories,Texas,Summer,No,Free Shipping,PayPal,Quarterly,21.57,0,0
55,36,28,Accessories,Colorado,Winter,Yes,Next Day Air,Debit Card,Quarterly,99.62,1,1
42,29,18,Footwear,Iowa,Fall,Yes,Standard,Venmo,Annually,99.67,1,1
61,74,30,Clothing,Idaho,Summer,No,2-Day Shipping,Credit Card,Monthly,21.36,0,0
59,33,46,Clothing,Hawaii,Fall,No,Standard,Venmo,Quarterly,27.72,0,0
58,34,1,Footwear,Hawaii,Summer,No,2-Day Shipping,Bank Transfer,Annually,14.31,0,0
29,39,3,Accessories,Kentucky,Summer,Yes,Express,Debit Card,Bi-Weekly,99.49,1,1
68,56,34,Footwear,Florida,Spring,No,Standard,Bank Transfer,Monthly,22.44,0,1
39,28,31,Accessories,Illinois,Spring,No,Free Shipping,Credit Card,Weekly,20.2,0,0
47,97,16,Outerwear,Mississippi,Summer,No,2-Day Shipping,Cash,Weekly,34.49,0,0
